2024-09-12T02:49:16.375Z P:29340 T:21440] ModelLoadManager::ModelLoadCallback,Load Extensions: success
2024-09-12T02:49:16.375Z P:29340 T:21440] ModelLoadManager::ModelLoadCallback,Load Autofill Profiles: success
2024-09-12T02:49:16.375Z P:29340 T:21440] ModelLoadManager::ModelLoadCallback,Load Autofill: success
2024-09-12T02:49:16.375Z P:29340 T:21440] ModelLoadManager::ModelLoadCallback,Load Extension settings: success
2024-09-12T02:49:16.375Z P:29340 T:21440] ModelLoadManager::ModelLoadCallback,Load Device Info: success
2024-09-12T02:49:16.375Z P:29340 T:21440] ModelLoadManager::ModelLoadCallback,Load User Consents: success
2024-09-12T02:49:16.375Z P:29340 T:21440] ModelLoadManager::ModelLoadCallback,Load Send Tab To Self: success
2024-09-12T02:49:16.375Z P:29340 T:21440] ModelLoadManager::ModelLoadCallback,Load Web Apps: success
2024-09-12T02:49:16.375Z P:29340 T:21440] ModelLoadManager::ModelLoadCallback,Load Collection: success
2024-09-12T02:49:16.375Z P:29340 T:21440] ModelLoadManager::ModelLoadCallback,Load Edge Hub App Usage: success
2024-09-12T02:49:16.375Z P:29340 T:21440] ModelLoadManager::ModelLoadCallback,Load Edge E Drop: success
2024-09-12T02:49:16.375Z P:29340 T:21440] ModelLoadManager::ModelLoadCallback,Load Edge Wallet: success
2024-09-12T02:49:16.375Z P:29340 T:21440] DataTypeManagerImpl::OnAllDataTypesReadyForConfigure,Start to configure data types
2024-09-12T02:49:16.375Z P:29340 T:21440] DataTypeManagerImpl::StartNextConfiguration,Remain to be configured size: 4 and next configuring types are: Encryption Keys
2024-09-12T02:49:16.375Z P:29340 T:21440] DataTypeManagerImpl::PrepareConfigureParams,Prepare to be configured types: 
2024-09-12T02:49:16.377Z P:29340 T:3084] SyncManagerImpl::ConfigureSyncer,Types to download: 
2024-09-12T02:49:16.388Z P:29340 T:21440] DataTypeManagerImpl::ConfigurationCompleted,Remain to be configured size: 3
2024-09-12T02:49:16.388Z P:29340 T:21440] DataTypeManagerImpl::StartNextConfiguration,Remain to be configured size: 3 and next configuring types are: Preferences, Passwords, Device Info, Send Tab To Self, Edge E Drop
2024-09-12T02:49:16.388Z P:29340 T:21440] DataTypeManagerImpl::PrepareConfigureParams,Prepare to be configured types: 
2024-09-12T02:49:16.389Z P:29340 T:3084] SyncManagerImpl::ConfigureSyncer,Types to download: 
2024-09-12T02:49:16.390Z P:29340 T:21440] DataTypeManagerImpl::ConfigurationCompleted,Remain to be configured size: 2
2024-09-12T02:49:16.391Z P:29340 T:21440] DataTypeManagerImpl::StartNextConfiguration,Remain to be configured size: 2 and next configuring types are: Bookmarks
2024-09-12T02:49:16.391Z P:29340 T:21440] DataTypeManagerImpl::PrepareConfigureParams,Prepare to be configured types: 
2024-09-12T02:49:16.391Z P:29340 T:3084] SyncManagerImpl::ConfigureSyncer,Types to download: 
2024-09-12T02:49:16.392Z P:29340 T:21440] DataTypeManagerImpl::ConfigurationCompleted,Remain to be configured size: 1
2024-09-12T02:49:16.395Z P:29340 T:21440] DataTypeManagerImpl::StartNextConfiguration,Remain to be configured size: 1 and next configuring types are: Autofill Profiles, Autofill, Extensions, Extension settings, User Consents, Web Apps, Collection, Edge Hub App Usage, Edge Wallet
2024-09-12T02:49:16.395Z P:29340 T:21440] DataTypeManagerImpl::PrepareConfigureParams,Prepare to be configured types: 
2024-09-12T02:49:16.395Z P:29340 T:14524] SyncManagerImpl::ConfigureSyncer,Types to download: 
2024-09-12T02:49:16.395Z P:29340 T:21440] DataTypeManagerImpl::ConfigurationCompleted,Remain to be configured size: 0
2024-09-12T02:49:16.397Z P:29340 T:21440] SyncServiceImpl::OnConfigureDone,Configure DataTypeManager with: Ok
2024-09-12T03:16:49.461Z P:16100 T:16200] SyncServiceImpl::Initialize,SyncState after authenticated was: FeatureCanStart
2024-09-12T03:16:49.746Z P:16100 T:16200] SyncAuthManager::SetLastAuthError,Current auth error: None
2024-09-12T03:16:49.746Z P:16100 T:16200] SyncAuthManager::EdgeLogTokenErrorState,Token error with: None for account type: AAD
2024-09-12T03:16:49.746Z P:16100 T:16200] SyncServiceImpl::CredentialsChangedForKeyData,Credentials changed for: EdgeSyncKeyDataScope
2024-09-12T03:16:49.746Z P:16100 T:16200] SyncServiceImpl::TryStartImpl,Try to start sync engine
2024-09-12T03:16:49.748Z P:16100 T:5580] SyncManagerImpl::ConfigureSyncer,Types to download: Encryption Keys
2024-09-12T03:16:51.536Z P:16100 T:16200] SyncAuthManager::SetLastAuthError,Current auth error: None
2024-09-12T03:16:51.536Z P:16100 T:16200] SyncAuthManager::EdgeLogTokenErrorState,Token error with: None for account type: AAD
2024-09-12T03:16:51.536Z P:16100 T:16200] SyncServiceImpl::CredentialsChanged,Credentials changed for: EdgeSyncScopeNew
2024-09-12T03:16:52.920Z P:16100 T:16200] SyncServiceImpl::OnEngineInitialized,Initialize engine with: Success
2024-09-12T03:16:52.923Z P:16100 T:16200] ModelLoadManager::Configure,Desired types without errors: Bookmarks, Preferences, Passwords, Autofill Profiles, Autofill, Extensions, Extension settings, Device Info, User Consents, Send Tab To Self, Web Apps, Collection, Edge E Drop, Edge Hub App Usage, Edge Wallet, Encryption Keys and types with errors: 
2024-09-12T03:16:52.924Z P:16100 T:16200] ModelLoadManager::ModelLoadCallback,Load Bookmarks: success
2024-09-12T03:16:52.924Z P:16100 T:16200] ModelLoadManager::LoadDesiredTypes,Loading type: Bookmarks
2024-09-12T03:16:52.924Z P:16100 T:16200] ModelLoadManager::LoadDesiredTypes,Loading type: Preferences
2024-09-12T03:16:52.925Z P:16100 T:16200] ModelLoadManager::LoadDesiredTypes,Loading type: Passwords
2024-09-12T03:16:52.925Z P:16100 T:16200] ModelLoadManager::LoadDesiredTypes,Loading type: Autofill Profiles
2024-09-12T03:16:52.925Z P:16100 T:16200] ModelLoadManager::LoadDesiredTypes,Loading type: Autofill
2024-09-12T03:16:52.925Z P:16100 T:16200] ModelLoadManager::LoadDesiredTypes,Loading type: Extensions
2024-09-12T03:16:52.925Z P:16100 T:16200] ModelLoadManager::LoadDesiredTypes,Loading type: Extension settings
2024-09-12T03:16:52.925Z P:16100 T:16200] ModelLoadManager::LoadDesiredTypes,Loading type: Device Info
2024-09-12T03:16:52.925Z P:16100 T:16200] ModelLoadManager::LoadDesiredTypes,Loading type: User Consents
2024-09-12T03:16:52.925Z P:16100 T:16200] ModelLoadManager::LoadDesiredTypes,Loading type: Send Tab To Self
2024-09-12T03:16:52.925Z P:16100 T:16200] ModelLoadManager::LoadDesiredTypes,Loading type: Web Apps
2024-09-12T03:16:52.925Z P:16100 T:16200] ModelLoadManager::LoadDesiredTypes,Loading type: Collection
2024-09-12T03:16:52.925Z P:16100 T:16200] ModelLoadManager::LoadDesiredTypes,Loading type: Edge E Drop
2024-09-12T03:16:52.925Z P:16100 T:16200] ModelLoadManager::LoadDesiredTypes,Loading type: Edge Hub App Usage
2024-09-12T03:16:52.925Z P:16100 T:16200] ModelLoadManager::LoadDesiredTypes,Loading type: Edge Wallet
2024-09-12T03:16:52.927Z P:16100 T:16200] ModelLoadManager::ModelLoadCallback,Load Preferences: success
2024-09-12T03:16:52.927Z P:16100 T:16200] ModelLoadManager::ModelLoadCallback,Load Passwords: success
2024-09-12T03:16:52.927Z P:16100 T:16200] ModelLoadManager::ModelLoadCallback,Load Extensions: success
2024-09-12T03:16:52.927Z P:16100 T:16200] ModelLoadManager::ModelLoadCallback,Load Autofill Profiles: success
2024-09-12T03:16:52.927Z P:16100 T:16200] ModelLoadManager::ModelLoadCallback,Load Autofill: success
